Name;Courage;Ambition;Intelligence;Good
Harry James Potter;9;4;5;9
Ronald Bilius Weasley;8;6;5;9
Hermione Jean Granger;9;6;9;9
Albus Percival Wulfric Brian Dumbledore;9;8;9;9
Rubeus Hagrid;8;1;5;9
Neville Longbottom;6;3;5;9
Fred Weasley;9;8;7;9
George Weasley;9;8;7;9
Ginevra (Ginny) Molly Weasley;8;2;6;9
Dean Thomas;8;2;7;9
Seamus Finnigan;7;4;5;8
Lily J. Potter;9;1;9;9
James Potter;9;3;8;9
Sirius Black;9;2;8;9
Remus John Lupin;9;2;8;9
Peter Pettigrew;2;8;5;2
Percy Ignatius Weasley;8;8;9;8
(Bill) William Arthur Weasley;9;5;7;9
Charles Weasley;9;3;8;9
Lee JordanÂ ;7;6;6;9
Oliver Wood;8;7;8;9
Angelina Johnson;8;7;8;9
Katie Bell;9;7;8;9
Alicia Spinnet;7;6;8;9
Lavender Brown;7;7;5;8
Parvati Patil;8;5;7;9
Romilda Vane;5;8;5;7
Colin Creevey;9;4;7;9
Cormac McLaggen;4;8;4;7
Minerva McGonagall;9;4;9;9
Molly Weasley;9;1;8;9
Arthur Weasley;9;5;8;9
Quirinus Quirrell;2;9;5;2
Cho Chang;7;3;8;9
Luna Lovegood;9;4;8;9
Gilderoy Lockhart;1;9;3;7
Filius Flitwick;8;7;9;9
Sybill Patricia Trelawney;5;8;6;7
Garrick Ollivander;6;7;9;7
Myrtle Elizabeth Warren (Moaning Myrtle);7;6;8;9
Padma Patil;8;3;8;9
Michael Corner;5;8;8;7
Terry Boot;7;5;8;8
Severus Snape;9;8;9;8
Draco Malfoy;2;9;8;4
Vincent Crabbe;2;8;4;4
Gregory Goyle;2;8;4;4
Bellatrix Lestrange;7;9;6;1
Dolores Jane Umbridge;2;9;5;5
Horace Eugene Flaccus Slughorn;7;7;8;8
Lucius Malfoy;3;9;5;2
Narcissa Malfoy;2;7;5;4
Regulus Arcturus Black;6;9;5;4
Pansy Parkinson;2;8;5;4
Tom Marvolo Riddle;6;9;8;1
Millicent Bulstrode;4;7;3;5
Graham Montague;4;7;4;5
Bloody Baron;3;6;5;6
Marcus Flint;3;8;2;5
Penelope Clearwater;7;7;8;9
Salazar Slytherin;5;9;7;3
Godric Gryffindor;9;6;7;8
Rowena Ravenclaw;7;7;9;8
Nicholas de Mimsy-Porpington;9;6;8;9
Helga Hufflepuff;7;3;7;9
Helena Ravenclaw;7;8;9;8
Nymphadora Tonks;9;5;8;9
Pomona Sprout;9;5;7;9
Cedric Diggory;7;6;8;9
Justin Finch-Fletchley;8;3;7;9
Zacharias Smith;5;8;6;8
Hannah Abbott;8;2;7;9
Ernest Macmillan;7;5;7;8
Susan Bones;7;2;7;9
Walden Macnair;4;7;3;4
Augustus Rookwood;5;7;5;3
Antonin Dolohov;4;8;6;3
Corban Yaxley;6;9;6;3
Frank Longbottom;9;4;8;9
Edgar Bones;8;4;7;9
Dennis Creevey;8;3;7;9
Albus Severus Potter;8;6;6;8
Scorpius Hyperion Malfoy;7;7;7;7
Edward Remus Lupin;9;2;8;9
James Sirius Potter;8;6;7;9
Rose Granger-Weasley;8;4;9;9
